Date,Price,Open,High,Low,Vol.,Change %
19,285.47,302.16,303.49,279.38,1.56M,-5.53%
18,302.18,300.34,309,299.6,1.03M,0.62%
17,300.31,302.88,306.41,295.11,1.31M,-0.84%
16,302.84,315.62,323.21,301.85,1.77M,-4.04%
15,315.58,309.49,324.15,301.92,2.49M,1.98%
14,309.45,308.96,313.29,290.93,1.65M,0.15%
13,308.98,316.15,318.16,305.35,1.08M,-2.27%
12,316.17,321.91,334.34,308.77,1.52M,-1.77%
11,321.88,316.07,326.55,312.28,929.54K,1.84%
10,316.07,316.77,321.2,310.82,958.95K,-0.22%
9,316.77,310.52,319.48,302.28,1.28M,2.01%
8,310.52,327.65,328.17,307.04,1.89M,-5.24%
7,327.68,320.01,339.36,318.33,2.02M,2.39%
6,320.02,302.01,321.89,301.95,2.34M,5.86%
5,302.31,307.88,307.88,292.4,1.62M,-1.81%
4,307.88,299.25,314.73,299.1,1.50M,2.88%
3,299.25,287.37,302.93,283.06,1.11M,4.13%
2,287.38,287.64,290.58,276.78,1.18M,-0.09%
1,287.63,303.24,303.41,281.4,1.62M,-5.15%
30,303.25,299.88,304.71,281.84,2.36M,1.12%
29,299.88,289.85,315.04,289.27,2.43M,3.47%
28,289.83,290.87,298.93,283.91,2.16M,-0.35%
27,290.86,279.45,291.08,270,1.79M,4.08%
26,279.45,281.15,290.05,264.47,2.63M,-0.60%
25,281.13,308.57,314.08,275.62,3.26M,-8.81%
24,308.31,296.13,316.2,281.74,3.12M,4.11%
23,296.14,261.47,309.45,251.9,4.07M,13.27%
22,261.45,271.81,290.65,225.93,6.75M,-3.80%
21,271.8,339.09,341.52,269.45,4.55M,-19.94%
20,339.47,334.15,340.38,310.54,1.99M,1.58%
19,334.19,336.71,344.33,331.88,1.33M,-0.74%
