Date,Price,Open,High,Low,Vol.,Change %,,,
19,1823.02 ,1891.43 ,1915.15 ,1807.19 ,846.97K,-3.67%,,,
18,1892.42 ,1898.01 ,1988.24 ,1881.60 ,829.77K,-0.29%,,,
17,1897.98 ,1877.00 ,1917.80 ,1851.97 ,623.52K,1.05%,,,
16,1878.20 ,1917.21 ,1960.21 ,1852.42 ,619.62K,-2.03%,,,
15,1917.21 ,1994.73 ,2038.91 ,1884.81 ,645.06K,-3.88%,,,
14,1994.64 ,1940.48 ,2017.99 ,1868.45 ,1.05M,2.78%,,,
13,1940.72 ,2035.09 ,2042.61 ,1920.62 ,717.85K,-4.64%,,,
12,2035.09 ,2139.44 ,2167.60 ,2008.66 ,540.10K,-4.87%,,,
11,2139.35 ,2110.90 ,2173.34 ,2081.62 ,724.84K,1.34%,,,
10,2111.12 ,2146.15 ,2191.30 ,2078.43 ,929.32K,-1.62%,,,
9,2145.89 ,2120.05 ,2185.62 ,2066.09 ,1.42M,1.21%,,,
8,2120.22 ,2316.21 ,2322.47 ,2095.92 ,1.82M,-8.48%,,,
7,2316.57 ,2322.74 ,2402.68 ,2296.43 ,1.32M,-0.26%,,,
6,2322.72 ,2196.25 ,2347.47 ,2194.20 ,1.78M,5.76%,,,
5,2196.16 ,2322.60 ,2322.60 ,2163.09 ,822.95K,-5.47%,,,
4,2323.22 ,2224.70 ,2386.20 ,2222.95 ,1.39M,4.43%,,,
3,2224.70 ,2154.53 ,2236.97 ,2115.80 ,1.28M,3.25%,,,
2,2154.78 ,2108.58 ,2158.70 ,2019.75 ,1.39M,2.17%,,,
1,2109.11 ,2274.50 ,2274.63 ,2077.56 ,1.71M,-7.24%,,,
30,2273.84 ,2158.32 ,2281.55 ,2090.61 ,1.90M,5.33%,,,
29,2158.71 ,2083.48 ,2241.86 ,2076.17 ,898.06K,3.63%,,,
28,2083.09 ,1981.24 ,2142.84 ,1962.89 ,2.19M,5.21%,,,
27,1979.88 ,1830.42 ,1980.70 ,1808.59 ,1.87M,8.15%,,,
26,1830.62 ,1810.53 ,1850.40 ,1719.32 ,1.99M,1.11%,,,
25,1810.57 ,1989.77 ,2017.47 ,1793.47 ,1.65M,-8.98%,,,
24,1989.14 ,1968.76 ,2033.96 ,1886.74 ,1.64M,1.05%,,,
23,1968.39 ,1877.28 ,2043.10 ,1823.57 ,1.77M,4.89%,,,
22,1876.66 ,1890.95 ,1994.32 ,1707.24 ,2.84M,-0.77%,,,
21,1891.18 ,2244.25 ,2257.86 ,1868.32 ,2.69M,-15.72%,,,
20,2243.86 ,2166.30 ,2276.83 ,2045.03 ,1.42M,3.55%,,,
19,2166.91 ,2229.53 ,2276.70 ,2164.14 ,1.08M,-2.81%,,,
